code,location,lat,lng
780,Maliha City,53.3670213,-1.4806592
788,Maliha Kalba Road - Friday Market Stop 1,47.27541,8.4897
793,Maliha Kalba Road - Friday Market Stop 2,47.28167,8.45023
587,Maliha Rd 2nd Industrial Junction Area A Stop 1,47.27541,8.4897
588,Maliha Rd 2nd Industrial Junction Area B Stop 1,47.27541,8.4897
589,Maliha Rd Baladiya Office Stop 1,47.27541,8.4897
586,Maliha Rd J&P Junction Stop 1,47.27541,8.4897
591,Maliha Rd Sabah Industry Stop 1,47.27541,8.4897
590,Maliha Road GE CO-Minerwa Stop 1,47.27541,8.4897
787,Maliha Sports Club Stop 2,47.28167,8.45023
794,Maliha VISS School Stop 1,47.27541,8.4897
585,Malihad Rd Maza Signal Junction Area B Stop 1,47.27541,8.4897
538,Mall of Emirates/Dubai,25.1212029,55.2004469
664,Municipality Labour Camp Stop 2,47.28167,8.45023
825,Muwaileh Bus Terminal,-32.89505,-68.83033
750,"National Cement Corporation, Staff Accommodation 2",47.28167,8.45023
593,National Paint Bus Stop,39.25446,-76.70557
740,"Qumaish Cont, Labour Camp 2",47.28167,8.45023
754,"Quoz, AST Company 2",47.28167,8.45023
755,"Quoz, AST Company 3",26.91667,87.91667
748,"Quoz, Jumbo Electronics Stores 2",47.28167,8.45023
758,"Quoz, Latifa Bint Hamdan Street 2",25.1544301,55.2374949
757,"Quoz, New Housing Junction 2",47.28167,8.45023
53,Qusais - Sonapore Bus Station,47.27103,8.8218
25,Rolla Terminal / Sharjah,25.3559769,55.3904457
725,School Station Khorfakkan Stop 2,47.28167,8.45023
661,School Station Stop 2,47.28167,8.45023
660,Sharjah Civil Defense Stop 2,47.28167,8.45023
724,Sharjah Civil Defense Stop 2,47.28167,8.45023
71,Sharjah Int.Airport/ Sharjah,25.3499751,55.3814652
723,Sharjah University Khorfakkan Branch	,35.30565,-93.95354
789,Wadi Al Helo Police Station Stop 1,47.27541,8.4897
792,Wadi Al Helo Police Station Stop 2,47.28167,8.45023
65,Dream Land Aqua Park Stop 2,47.28167,8.45023
540,Ittihad Park Stop 1 / Sharjah,25.0,55.75
619,King Faisal St Al Estiqlal St Junction Stop 1,47.27541,8.4897
617,King Faisal Street Bridge Stop 2,47.28167,8.45023
616,King Faisal Street Maza Signal Junction Stop 1,47.27541,8.4897
618,King Faisal Street Sharjah Islamic Bank Stop 2,47.28167,8.45023
612,Maliha Rd 2nd Industrial Junction Area A Stop 2,47.28167,8.45023
610,Maliha Rd Baladiya Office GECO Junction Stop 2,47.28167,8.45023
609,Maliha Rd EDNOC Lubricant Stop 2,47.28167,8.45023
613,Maliha Rd J&P Junction Stop 2,47.28167,8.45023
615,Maliha Rd Maza Signal Junction Area A Stop 2,47.28167,8.45023
614,Malihad Rd Maza Signal Junction Area B Stop 2,47.28167,8.45023
686,National Paints Opposite Stop 1,47.27541,8.4897
707,Al Hamra Mall RAK Stop 2,47.28167,8.45023
708,Al Hamrah Ceramic Factory Stop 1,47.27541,8.4897
68,Ice land Water Park Stop 2 / RAK,31.63416,-7.99994
560,Mina Al Arab RAK stop 1,47.27541,8.4897
70,RAK Bus Terminal Stop 1,47.27541,8.4897
69,RAK Traffic Department Stop 1/RAK,31.63416,-7.99994
645,Al Khan Interchange stop 2,47.28167,8.45023
648,Al Wahda Street Carrefour Stop 1,47.27541,8.4897
647,Al Wahda Street MAX Stop 1,47.27541,8.4897
646,Al Wahda Street Post Office Stop 1,47.27541,8.4897
620,Ittihad Park Stop 1,47.27541,8.4897
695,Ajman - Car Souq Stop 1,47.27541,8.4897
692,Ajman - Ajman University Stop 1,47.27541,8.4897
691,Ajman - Khalifa Hospital Stop 1,47.27541,8.4897
693,Ajman - Traffic and Patrol Department Stop 1,47.27541,8.4897
48,Ajman City Center / Ajman stop 1,47.27541,8.4897
690,"Ajman-Sheikh Khalifa Bin Zayed Street,United Dis.1",-4.19834,12.66664
681,Ajman Al Bustan Bus Station,25.4115562,55.4461505
682,Ajman One Stop 1,47.27541,8.4897
683,Giant Supermarket Stop 2,47.28167,8.45023
684,Lulu Hypermarket Ajman Stop 2,47.28167,8.45023
720,Al Abeer Market Fujairah,25.11641,56.34141
714,Al Bitnah Stop 1,47.27541,8.4897
718,Choithrams Fujairah,25.11641,56.34141
713,Diftah Stop 1,47.27541,8.4897
715,Fujairah - Higher College of Technology,25.1311841,56.2960619
717,"Fujairah, Etisalat stop 1",47.27541,8.4897
711,"Masafi, Friday Market Stop 1",47.27541,8.4897
712,"Masafi, Police Station 1",47.27541,8.4897
710,Thoban ENOC Petrol Station Stop 1,47.27541,8.4897
719,Vegetable Market Fujairah,25.11641,56.34141
741,7 Up Staff Accommodation 1,47.27541,8.4897
739,"Ahmadya Cont., Labour Camp 1",47.27541,8.4897
743,Atlas Marine Service 1,47.27541,8.4897
746,Classic Crystal 1,-33.897674,151.2127231
679,Damascus Tawar Public Library Stop 1,47.27541,8.4897
728,Dubai Crown Plaza Stop 1,47.27541,8.4897
745,Electro Industrial Corporation 2,47.28167,8.45023
59,Jebel Ali Free Zone Gate 2/Dubai,24.9986032,55.0724339
734,Khaleej Times 1,25.1532619,55.2378175
737,Oasis Village 1,30.2093659,-97.7905781
738,"Quoz, AST Company 1",47.27541,8.4897
732,"Quoz, Clinic 1",47.27541,8.4897
730,"Quoz, Dubai Municipality Center 1",39.90512,-99.98036
731,"Quoz, Intersection",25.1744283,55.2560018
733,"Quoz, J Mart Supermarket 1",47.27541,8.4897
744,"Quoz, Jumbo Electronics Stores 1",47.27541,8.4897
735,"Quoz, Latifa Bint Hamdan Street 1",25.1410524,55.2479597
736,"Quoz, New Housing Junction 1",25.1499073,55.2436415
729,"Safa, Intersection Stop 1",47.27541,8.4897
769,Al Bitnah Stop 2,47.28167,8.45023
770,Diftah Stop 2,47.28167,8.45023
764,"Masafi, Friday Market Stop 2",47.28167,8.45023
765,Thoban ENOC Petrol Station Stop 2,47.28167,8.45023
702,Al Ittihad Umm Al Quwain R/A Stop 1,47.27541,8.4897
704,Salma Market Umm Al Quwain Stop 1,47.27541,8.4897
703,Salma Police Station UAQ Stop 1,47.27541,8.4897
705,Umm al Quwain Industrial Area Stop 1,47.27541,8.4897
44,Al Arouba Street KM Trade Center Stop 2,47.28167,8.45023
637,Al Arouba Street Rolla Mall Stop 2,47.28167,8.45023
639,Al Mareija Street Al Meeen Houses Stop 1,47.27541,8.4897
638,Al Mareija Street Bank of Baroda Stop 1,47.27541,8.4897
640,Al Mareija Street Bank of Baroda Stop 2,47.28167,8.45023
634,Al Sharq Street ENOC Petrol Stop 1,47.27541,8.4897
635,Al Sharq Street Kuwaity Mosque Stop 2,47.28167,8.45023
76,Fujairah / Fujairah Bus Stop,39.25446,-76.70557
77,Khorfakkan Bus Station / Khorfakkan,25.33132,56.34199
75,Masafi / RAK,31.63416,-7.99994
698,Ajman City Center / Ajman stop 2,47.28167,8.45023
700,"Ajman-Sheikh Khalifa Bin Zayed Street, McDonald 1",47.27541,8.4897
699,"Ajman-Sheikh Khalifa Bin Zayed Street,DANA Mall 1",47.27541,8.4897
632,Al Sharq Street ADNOC Petrol 2,47.28167,8.45023
630,Al Sharq Street Al Quds Cultural Institute Stop 1,47.27541,8.4897
631,Al Sharq Street Heirah Police Station Stop 1,47.27541,8.4897
629,Al Sharq Street Police Academy stop 2,47.28167,8.45023
701,"Ajman-Sheikh Khalifa Bin Zayed Street,Karachi DB 1",47.27541,8.4897
628,Al Sharq Street Ajman Mosque Stop 2,47.28167,8.45023
78,Shahama Bus Stop/ Abu dhabi,23.66667,54.0
689,"Ajman-Sheikh Khalifa Bin Zayed Street,BlackRamada2",25.41479531025166,55.497285263025255
688,"Ajman-Sheikh Khalifa Bin Zayed Street,Splash stop1",25.41479531025166,55.497285263025255
657,Al Dhaid Mosque Safeer Hypermarket,25.28792747336188,55.895679265855954
818,Al Khatm Melaha Border,24.984788725518033,56.361092974049996
663,Al Luoloaya Cooperative Society Round About,24.69184234338067,46.69288828260852
550,Al Sharq Street Salim Bin Ali Alowais R/A Stop 2,25.375399081003586,55.401085014255045
578,Ittihad Park Stop2,25.405473125769372,55.44487779123184
817,Kalba Roundabout - (Al Adel Mosque),25.04207726959268,55.234204283345996
804,Maleha Street (Industrial Area 18 ),25.271205281787793,55.48627583701872
685,Maliha Road 4th Industrial Area Intersection Stop1,25.30146097765414,55.430893537019934
671,Melaha Al Khatam Border,24.9717225324566,56.36683256014441
756,"Quoz, AST Company",25.141068164359428,55.241155477485016
821,Thabit bin Qais Mosque,25.07544530721168,56.35597839047095
820,The House of Sheikh Saeed bin Hamad Al Qasimi,25.080377777665525,56.35905854864614
665,"Town Planning Khorfakkan Branch, Oceanic Hotel",25.372377435982,56.34783031884125
687,"Ajman-Sheikh Khalifa Bin Zayed Street,AlMaya stop1",25.405006598698883,55.513896899905966
716,Khamis bin Matar Al-Kaabi Mosque,25.122512088590558,56.30741453701277
721,Mirbah - Sajidha Supermarket,25.129860362077395,56.326948529879395
722,Qidfa - Sajidha Electronics Trading,25.34758456008267,56.348334034551456
742,"National Cement Corporation, Staff�",25.124656953131783,55.2281645523589
